log_id,template,variables,original
0,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:00:01.319', 'P0000009826', 'T0000000000000034013', 'e']",2025-04-30 00:00:01.319 [WARNING] database P0000009826 T0000000000000034013  socket_err_should_retry errno:38
1,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:03.926', 'P0000009826', 'T0000000000000011404', 'CKPT_DIRTY_PAGES,', 'space[21399052288],', 's']","2025-04-30 00:00:03.926 [INFO] database P0000009826 T0000000000000011404  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21399052288], used space[75776000]"
2,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:03.926', 'P0000009826', 'T0000000000000011404', 'dirty_pages[10946]', 'c']",2025-04-30 00:00:03.926 [INFO] database P0000009826 T0000000000000011404  checkpoint generate by dirty_pages[10946] > ckpt_dirty_pages[10000]
3,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:03.926', 'P0000009826', 'T0000000000000011', 'used_space[75776000],', 'f']","2025-04-30 00:00:03.926 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[75776000], free_space[21399052288]..."
4,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:00:07.718', 'P0000009826', 'T0000000000000033207', 'e']",2025-04-30 00:00:07.718 [WARNING] database P0000009826 T0000000000000033207  socket_err_should_retry errno:38
5,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:08.510', 'P0000009826', 'T0000000000000011021', 'c']","2025-04-30 00:00:08.510 [INFO] database P0000009826 T0000000000000011021  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740246893760"
6,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:10.017', 'P0000009826', 'T0000000000000011021', '4013', 'ckpt_lsn:2740246893760,', 'min_fst_mdf_lsn:2740246893850,']","2025-04-30 00:00:10.017 [INFO] database P0000009826 T0000000000000011021  hpc_process_ckpt_far_ep_flush flush total 4013 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740246893760, min_fst_mdf_lsn:2740246893850, max_gen_lsn:0 code:0"
7,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:10.460', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:10.460 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
8,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:10.460', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:10.460 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
9,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:10.475', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:00:10.475 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 18"
